"","K543R.bam","K544R.bam","K545L.bam","K546R.bam","V541L.bam","V542L.bam","V548L.bam","V550L.bam"
"ENSRNOG00000016700",0,0,0,0,0,0,0,0
"ENSRNOG00000011114",739,800,687,760,823,773,735,735
"ENSRNOG00000011161",28,24,35,48,48,28,29,24
"ENSRNOG00000051597",0,0,0,0,0,0,0,0
"ENSRNOG00000057722",1,0,2,0,0,0,2,0
"ENSRNOG00000011815",223,238,252,307,241,267,481,264
"ENSRNOG00000059690",0,0,0,0,0,0,0,0
"ENSRNOG00000051379",0,0,0,0,0,0,0,0
"ENSRNOG00000059251",0,0,0,0,0,0,0,0
"ENSRNOG00000061761",0,0,0,0,0,0,0,0
"ENSRNOG00000056881",0,0,0,0,0,0,0,0
"ENSRNOG00000055637",0,0,0,0,0,0,0,0
"ENSRNOG00000058047",5,9,1,6,11,15,6,11
"ENSRNOG00000052999",20,24,11,29,22,40,31,49
"ENSRNOG00000048976",96,120,78,64,77,86,70,114
"ENSRNOG00000048796",339,489,307,376,343,341,310,355
"ENSRNOG00000054246",486,719,469,592,516,465,448,547
"ENSRNOG00000012122",0,0,0,0,0,0,0,0
"ENSRNOG00000062105",0,0,0,0,0,0,0,0
"ENSRNOG00000062163",0,0,0,0,0,0,0,0
"ENSRNOG00000062138",0,0,0,0,0,0,0,0
"ENSRNOG00000012609",0,0,0,1,0,0,0,1
"ENSRNOG00000058582",0,0,0,0,0,0,0,0
"ENSRNOG00000029608",9,8,5,5,1,7,8,6
"ENSRNOG00000052712",0,0,0,0,0,0,0,0
"ENSRNOG00000057890",0,0,0,0,0,0,0,0
"ENSRNOG00000056670",1,0,0,0,0,0,0,0
"ENSRNOG00000013323",173,180,146,230,157,176,204,201
"ENSRNOG00000021478",534,666,497,516,563,508,603,601
"ENSRNOG00000021442",230,269,242,344,238,200,233,270
"ENSRNOG00000041720",2,0,2,1,1,1,5,0
"ENSRNOG00000013364",3,0,1,1,5,6,4,5
"ENSRNOG00000014004",988,1113,1182,1133,779,1041,1279,1233
"ENSRNOG00000045369",0,0,0,0,0,1,1,0
"ENSRNOG00000014190",148,214,182,241,200,168,191,208
"ENSRNOG00000014240",192,243,207,249,230,220,206,239
"ENSRNOG00000042944",308,435,253,138,570,507,604,678
"ENSRNOG00000060033",0,0,0,0,0,0,0,0
"ENSRNOG00000050157",0,0,0,0,0,0,0,0
"ENSRNOG00000056383",0,0,0,0,0,0,0,0
"ENSRNOG00000061372",0,0,0,0,0,0,0,0
"ENSRNOG00000056484",0,1,0,1,0,0,0,0
"ENSRNOG00000011568",2,6,3,5,13,3,6,0
"ENSRNOG00000011588",615,845,749,763,617,641,679,676
"ENSRNOG00000011622",639,914,637,739,671,580,662,793
"ENSRNOG00000054753",0,0,0,0,0,0,0,0
"ENSRNOG00000042309",410,464,378,485,488,420,453,438
"ENSRNOG00000012324",170,214,174,212,195,220,274,245
"ENSRNOG00000061741",0,0,0,1,0,0,0,0
"ENSRNOG00000054845",0,0,0,0,0,0,0,0
"ENSRNOG00000023407",400,525,396,597,432,403,388,504
"ENSRNOG00000023387",414,463,382,457,467,496,394,451
"ENSRNOG00000012581",0,0,0,0,0,0,0,0
"ENSRNOG00000039788",0,0,0,0,0,0,0,0
"ENSRNOG00000051400",0,0,0,0,0,0,0,0
"ENSRNOG00000039783",23,22,27,26,40,21,25,13
"ENSRNOG00000028357",23,42,44,43,35,31,29,21
"ENSRNOG00000012775",239,309,266,337,280,312,371,388
"ENSRNOG00000013331",1908,2190,1794,2141,1857,1966,2154,2282
"ENSRNOG00000014485",749,899,743,942,885,745,897,987
"ENSRNOG00000014721",2,8,0,1,2,5,3,6
"ENSRNOG00000039776",765,970,668,913,826,851,950,946
"ENSRNOG00000015159",4,0,1,2,0,5,1,8
"ENSRNOG00000015465",164,193,153,68,291,233,350,269
"ENSRNOG00000028261",12,9,9,15,10,20,30,10
"ENSRNOG00000039743",1,3,0,1,0,0,1,1
"ENSRNOG00000060926",2,0,2,0,2,0,0,0
"ENSRNOG00000015676",1095,1175,1135,1149,1169,1020,1142,1261
"ENSRNOG00000015810",349,351,263,226,397,310,465,505
"ENSRNOG00000051415",1,1,5,0,6,0,3,0
"ENSRNOG00000045233",0,0,0,0,0,0,0,0
"ENSRNOG00000016103",103,102,59,75,128,149,111,125
"ENSRNOG00000016372",862,974,776,1039,926,1028,1045,953
"ENSRNOG00000056712",4,7,5,3,1,5,3,3
"ENSRNOG00000026501",8,6,4,3,3,4,4,3
"ENSRNOG00000016253",0,0,0,0,0,0,0,0
"ENSRNOG00000061518",0,0,2,0,0,2,0,0
"ENSRNOG00000025327",94,128,89,143,101,110,127,106
"ENSRNOG00000016923",2642,3171,2462,2886,2862,2575,3132,4138
"ENSRNOG00000017302",0,0,0,0,1,2,0,1
"ENSRNOG00000017930",1388,1610,1557,1549,1463,1283,1510,1561
"ENSRNOG00000053180",0,0,0,0,0,0,0,0
"ENSRNOG00000047971",92,76,77,112,87,70,71,86
"ENSRNOG00000049394",419,470,397,461,481,507,396,462
"ENSRNOG00000012720",0,0,0,0,0,0,0,0
"ENSRNOG00000060323",0,0,0,0,0,0,0,0
"ENSRNOG00000057164",0,0,0,0,0,0,0,0
"ENSRNOG00000012742",4,0,1,1,1,1,3,1
"ENSRNOG00000058487",0,0,0,0,0,0,0,0
"ENSRNOG00000055826",0,0,0,3,0,0,0,5
"ENSRNOG00000053323",0,0,0,0,0,0,0,0
"ENSRNOG00000056842",0,0,0,0,0,0,0,0
"ENSRNOG00000033609",1,0,0,1,2,0,3,1
"ENSRNOG00000054020",0,0,0,0,0,0,0,0
"ENSRNOG00000054169",0,0,0,0,0,0,0,0
"ENSRNOG00000057928",0,0,0,0,0,0,0,0
"ENSRNOG00000057721",0,0,0,0,0,0,0,0
"ENSRNOG00000016812",21,26,6,9,13,16,12,5
"ENSRNOG00000047117",3472,3884,3483,3427,3027,2208,2409,2533
"ENSRNOG00000023053",2279,2769,2408,2381,1809,2146,2387,2299
"ENSRNOG00000049434",2,2,4,1,0,1,4,3
"ENSRNOG00000052375",0,0,0,0,0,0,0,0
"ENSRNOG00000017095",0,2,0,0,1,0,0,0
"ENSRNOG00000055337",1,0,0,0,0,0,0,1
"ENSRNOG00000057357",4,12,2,11,12,10,6,6
"ENSRNOG00000017150",714,941,744,761,864,827,715,906
"ENSRNOG00000043733",0,0,0,0,0,0,0,0
"ENSRNOG00000034075",724,869,567,653,965,916,766,722
"ENSRNOG00000017254",1970,2277,2020,2366,1902,1822,2186,2665
"ENSRNOG00000017601",121,130,132,109,141,78,131,135
"ENSRNOG00000052644",0,0,0,0,0,0,0,0
"ENSRNOG00000017613",966,1287,982,1067,1311,1141,1194,1217
"ENSRNOG00000055880",0,0,0,0,0,0,0,0
"ENSRNOG00000017678",14,26,15,20,17,22,29,22
"ENSRNOG00000058077",0,0,0,0,0,0,0,0
"ENSRNOG00000032150",0,1,4,4,2,1,0,0
"ENSRNOG00000055957",0,0,0,0,0,0,0,0
"ENSRNOG00000047406",0,0,0,0,0,0,0,0
"ENSRNOG00000027422",324,372,336,382,338,305,361,322
"ENSRNOG00000017826",680,743,623,904,658,675,802,760
"ENSRNOG00000042308",47,81,84,113,76,71,58,70
