"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSRNOG00000056863",1.21764586145658,0.1222803181255,1.86675610383474,0.0655041747951478,0.947772582471147,NA
"ENSRNOG00000042411",2057.19352925942,-0.76493197341471,0.157550735178909,-4.85514696295183,1.20297493144513e-06,6.21373377854615e-05
"ENSRNOG00000051615",6983.6289659477,-0.241991477690282,0.113111652573013,-2.13940360860768,0.0324029949459025,0.146894935477208
"ENSRNOG00000014665",680.51530654213,-0.0737787879825128,0.0839058217725697,-0.879304754114599,0.379236058885824,0.641156510273614
"ENSRNOG00000060320",3.72538752163859,-0.349384397245275,0.801847560743587,-0.435724212868187,0.663036836138424,NA
"ENSRNOG00000057957",85.5988045158549,-0.0736457174894985,0.265933345732935,-0.276932993440611,0.781831557867894,0.906887901852651
"ENSRNOG00000031506",3444.55641644487,0.0276281249270182,0.0768793584208526,0.359369868512384,0.719318412677014,0.872063353569079
"ENSRNOG00000015476",43.2167188031528,0.245657480244755,0.246589556967359,0.996220128970316,0.319143201256538,0.585526087367593
"ENSRNOG00000015967",289.311184483177,-0.289167043794574,0.14092950772756,-2.05185591333777,0.040183667485305,0.168229187217162
"ENSRNOG00000016249",650.143741161914,-0.130622290367718,0.132315426711496,-0.987203787299348,0.32354274552218,0.589409804882416
"ENSRNOG00000022838",13.055748597154,0.147632698214063,0.550677891896217,0.268092655228451,0.788627999245431,0.91017668312366
"ENSRNOG00000016392",93.4589734731007,0.210317371767035,0.174663675710635,1.20412770950422,0.228540221429258,0.488749725760415
"ENSRNOG00000016536",377.923892356709,-0.12846474931226,0.149394057514468,-0.859905349982335,0.389841219170998,0.65042064978365
"ENSRNOG00000016776",16.4824504221761,1.29312098442641,0.41226766714125,3.13660538405347,0.00170916000052829,0.0185527546590584
"ENSRNOG00000022288",273.90445296906,0.586158958259378,0.191928277570331,3.0540520952916,0.00225772871468279,0.0227120016735283
"ENSRNOG00000016810",2369.60128568318,-0.603505899729764,0.146285898529875,-4.12552341541323,3.69892544252328e-05,0.000946660232037341
"ENSRNOG00000022054",63.5937101115825,-0.284066011555194,0.221442697300301,-1.28279692678223,0.199563231106348,0.454228894882952
"ENSRNOG00000022030",36.0578181896814,-0.500500818162104,0.394064723742025,-1.27009800169212,0.20404972336682,0.459148919040348
"ENSRNOG00000016937",579.822913247688,-0.218952649375304,0.116415436451931,-1.88078708501609,0.0600008876991369,0.216997732936197
"ENSRNOG00000017078",473.977312045194,0.0219898788719094,0.0996160872104367,0.220746261850823,0.825290008124877,0.927297364287413
"ENSRNOG00000017087",646.910175036636,0.545861444387589,0.252804558423965,2.15922310812194,0.0308328621361725,0.141844242471952
"ENSRNOG00000000151",14.9523171874104,-0.213072516497424,0.475971001925494,-0.447658608687211,0.654399598142732,0.835172056256453
"ENSRNOG00000057126",24.8567976051959,-0.350189772978653,0.339659899986349,-1.03100122502752,0.302540245330283,0.56954112499049
"ENSRNOG00000053363",9.39794587182886,-0.535022797880689,0.524174385659374,-1.02069618912734,0.307398400602508,0.57403238126119
"ENSRNOG00000056156",1248.24392662133,0.00279196390569615,0.0794725320157983,0.035131180986421,0.971975137920263,0.987616157175755
"ENSRNOG00000017130",5.87581087033898,0.0812538204654539,0.678636197551423,0.119731044053684,0.904696207650826,NA
"ENSRNOG00000017279",727.86937032915,0.0373401787039317,0.0816867297625251,0.457114378461287,0.647588836008941,0.831164615506603
"ENSRNOG00000017309",2577.40908363632,0.560104601594926,0.10841715485863,5.16619904225739,2.38902380490165e-07,1.70327302822706e-05
"ENSRNOG00000060597",698.387871546362,0.363531964891618,0.0884918807930941,4.10808270356017,3.98957252263018e-05,0.00100640611841631
"ENSRNOG00000018109",199.04045065994,-0.310445101306979,0.154259357042853,-2.01248797647159,0.0441685228650161,0.178864850194169
"ENSRNOG00000018194",2201.06278294709,0.0193770046514486,0.0785668784016866,0.246630705529375,0.805194038883349,0.918890559441086
"ENSRNOG00000018576",318.631076834953,-0.335346439157573,0.160368149296161,-2.09110375488757,0.036518764198303,0.15858563143135
"ENSRNOG00000037165",718.588715255384,0.10807452246119,0.121969934124524,0.886075107254315,0.375577055846525,0.638119620730066
"ENSRNOG00000031448",7.1260366132207,0.679929814291855,0.656427108779805,1.0358039837138,0.300293598694476,0.5670552834835
"ENSRNOG00000045994",3.35636739388738,-1.42765862484654,0.953114366540264,-1.49788805516471,0.134162337613451,NA
"ENSRNOG00000033984",160.685270601744,-0.0102291744262947,0.170265309660347,-0.0600778540661061,0.952093627992163,0.980210947693694
"ENSRNOG00000027976",1.74321317835648,0.0360671904633889,1.32968584096715,0.0271245954135718,0.978360357672353,NA
"ENSRNOG00000007992",671.414221110448,-0.267265409259078,0.109004000968947,-2.4518862324624,0.0142109584430867,0.0840045211820613
"ENSRNOG00000009248",1582.71860190086,-0.208800890461879,0.0946830012634284,-2.20526269420791,0.0274356660548366,0.131514528001499
"ENSRNOG00000009325",1526.85765665484,0.230846272416719,0.140766277387581,1.63992595883682,0.101020562683754,0.301387408138008
"ENSRNOG00000009422",192.050058498612,0.0108640944388403,0.144547907240992,0.0751591264529866,0.940088104696273,0.97501556876913
"ENSRNOG00000009712",97.6187083743899,-0.298710681304552,0.221442614147033,-1.34893043263215,0.17735931216558,0.423487187821776
"ENSRNOG00000010067",605.777232921245,-0.0526590227340504,0.0975412430934239,-0.539864175030188,0.589290705655592,0.795746812741048
"ENSRNOG00000010873",340.431546922272,-0.15678276724047,0.136130348543559,-1.15171061352497,0.249440009432085,0.5125840302078
"ENSRNOG00000010902",759.725024365243,0.0697180904692551,0.103947264827004,0.67070634889032,0.502407617511285,0.739456432628419
"ENSRNOG00000026260",3679.44721469031,0.133508698069539,0.0919801007074057,1.45149545437266,0.146641947086679,0.378614005471807
"ENSRNOG00000026124",31.3729211443232,-0.0854038615030936,0.404550660391197,-0.211107952266124,0.832803035058393,0.930196152574049
"ENSRNOG00000047741",136.786922048837,-0.816349371832977,0.218834485772607,-3.73044206881201,0.0001911440916198,0.00345660582131578
"ENSRNOG00000049714",24.3429621754623,0.815724351025355,0.385602610195405,2.11545339543211,0.034391323025047,0.152664902501714
"ENSRNOG00000011794",8.81380964751247,-0.89520436846653,0.666204999623956,-1.34373709139354,0.179033418573576,0.425512814918584
"ENSRNOG00000049975",265.845836963161,-0.224724471675799,0.117654876416871,-1.91003108855057,0.0561292106218385,0.208507385641692
"ENSRNOG00000011910",1434.68625941186,-0.208254753562146,0.0811555175913331,-2.56611946720411,0.0102843400117897,0.0672601151675442
"ENSRNOG00000012038",3.23555915578267,-0.046042125864458,1.04279967290781,-0.0441524168645653,0.964782910876267,NA
"ENSRNOG00000022402",665.524171031082,0.070303848293008,0.0980783963191039,0.716812783768101,0.473489622649673,0.718039378665294
"ENSRNOG00000022372",1333.67424784115,-0.173722403562602,0.0899837251003593,-1.93059804279994,0.053532780103279,0.203288021667516
"ENSRNOG00000012531",178.843226962472,-0.505633756458759,0.158400040232083,-3.19213149010519,0.00141227025678489,0.0160822702038317
"ENSRNOG00000012807",16.5041209672978,0.0009333968960808,0.498299531570813,0.00187316430569061,0.998505431994652,0.999360936549844
"ENSRNOG00000013036",80.5556607900407,0.98902259077022,0.187905954743808,5.26339142428274,1.41422040332532e-07,1.09699221258485e-05
"ENSRNOG00000022039",230.901921840345,0.00824476326762191,0.163793078523894,0.05033645708307,0.959854272029354,0.983952955999665
"ENSRNOG00000013166",1044.68699552071,0.196536760057187,0.211152092875207,0.930782912833083,0.351965870265327,0.615785489552021
